order_id,customer_id,product_id,order_date,quantity
1001,1,101,2024-01-01,1
1002,2,102,2024-01-05,2
1003,3,103,2024-01-10,1
1004,4,104,2024-01-15,3
1005,5,105,2024-01-20,1
1006,6,101,2024-01-25,2
1007,7,102,2024-02-01,1
1008,8,103,2024-02-05,2
1009,9,104,2024-02-10,1
1010,10,105,2024-02-15,3
1011,11,101,2024-02-20,1
1012,12,102,2024-02-25,2
1013,13,103,2024-03-01,1
1014,14,104,2024-03-05,2
1015,15,105,2024-03-10,1
1016,16,101,2024-03-15,3
1017,17,102,2024-03-20,1
1018,18,103,2024-03-25,2
1019,19,104,2024-04-01,1
1020,20,105,2024-04-05,2
1021,1,102,2024-04-10,1
1022,3,105,2024-04-15,2
1023,6,101,2024-04-20,1
1024,9,103,2024-04-25,3
1025,12,104,2024-05-01,1
1026,14,102,2024-05-05,2
1027,16,105,2024-05-10,1
1028,18,101,2024-05-15,2
1029,20,103,2024-05-20,1
